Distance [mm],Bx,By
0,-0.012723219,-0.069997238
0.1,-0.014907944,-0.069993002
0.2,-0.017095706,-0.069999081
0.3,-0.019286596,-0.070015787
0.4,-0.021426592,-0.069994684
0.5,-0.023262048,-0.06974734
0.6,-0.025097505,-0.069499996
0.7,-0.026932961,-0.069252652
0.8,-0.028874096,-0.069060343
0.9,-0.031036677,-0.06898336
1,-0.033199258,-0.068906376
1.1,-0.035380831,-0.068493623
1.2,-0.037575245,-0.067853819
1.3,-0.039832702,-0.06736755
1.4,-0.042199042,-0.067146462
1.5,-0.044565127,-0.066924042
1.6,-0.046880092,-0.066434496
1.7,-0.049195057,-0.06594495
1.8,-0.051510022,-0.065455404
1.9,-0.053824987,-0.064965857
2,-0.056139952,-0.064476311
2.1,-0.058120589,-0.063782123
2.2,-0.059993266,-0.063016201
2.3,-0.061865943,-0.06225028
2.4,-0.063738619,-0.061484359
2.5,-0.065689378,-0.060803075
2.6,-0.067760647,-0.06025242
2.7,-0.069816081,-0.059690789
2.8,-0.071730607,-0.059031484
2.9,-0.073342184,-0.058229115
3,-0.074839145,-0.057372619
3.1,-0.076336106,-0.056516123
3.2,-0.077953861,-0.055456842
3.3,-0.07960574,-0.054340275
3.4,-0.081257619,-0.053223708
3.5,-0.082837373,-0.051943546
3.6,-0.084305625,-0.050671689
3.7,-0.085740774,-0.049443769
3.8,-0.087233591,-0.048092101
3.9,-0.088689746,-0.046784918
4,-0.089975851,-0.045698899
4.1,-0.091261955,-0.04461288
4.2,-0.092607931,-0.043503871
4.3,-0.09396341,-0.042391211
4.4,-0.09484629,-0.04082033
4.5,-0.095845394,-0.039564552
4.6,-0.096853882,-0.038333
4.7,-0.097862371,-0.037101448
4.8,-0.098887788,-0.035696358
4.9,-0.099913205,-0.034291266
5,-0.100987359,-0.032974438
5.1,-0.102098313,-0.031724259
5.2,-0.102903842,-0.030416624
5.3,-0.103156049,-0.029004898
5.4,-0.103408257,-0.027593172
5.5,-0.103822316,-0.026395043
5.6,-0.104300122,-0.025281039
5.7,-0.104777927,-0.024167034
5.8,-0.1055783,-0.023234111
5.9,-0.106134655,-0.022054176
6,-0.106664691,-0.020847711
6.1,-0.107194727,-0.019641246
6.2,-0.107485349,-0.018533238
6.3,-0.107455869,-0.017556868
6.4,-0.107440658,-0.016576847
6.5,-0.107638134,-0.01554241
6.6,-0.107835611,-0.014507974
6.7,-0.108088589,-0.013482398
6.8,-0.1085004,-0.01248218
6.9,-0.10891221,-0.011481962
7,-0.109146762,-0.010386689
7.1,-0.109068865,-0.009123862
7.2,-0.108990968,-0.007861034
7.3,-0.108779438,-0.00686851
7.4,-0.108510461,-0.005992186
7.5,-0.108242766,-0.005097674
7.6,-0.107980751,-0.004122554
7.7,-0.107718737,-0.003147434
7.8,-0.107511752,-0.002292384
7.9,-0.107335301,-0.001503959
8,-0.107133513,-0.000701106
8.1,-0.106817921,0.000166557
8.2,-0.106489418,0.001006421
8.3,-0.106114023,0.001745329
8.4,-0.105738628,0.002484237
8.5,-0.105363232,0.003223145
8.6,-0.104987837,0.003962053
8.7,-0.104593699,0.004692538
8.8,-0.104081957,0.005432805
8.9,-0.103450045,0.006127967
9,-0.102826982,0.006811041
9.1,-0.102203919,0.007494114
9.2,-0.101580856,0.008177188
9.3,-0.100958703,0.008732892
9.4,-0.100398727,0.009185533
9.5,-0.09997629,0.009653969
9.6,-0.099553854,0.010122405
9.7,-0.099131417,0.010590841
9.8,-0.098585629,0.010958546
9.9,-0.098031571,0.011319496
10,-0.097477512,0.011680446
10.1,-0.096923454,0.012041396
10.2,-0.096179256,0.012462762
10.3,-0.09547692,0.013022849
10.4,-0.09479303,0.013634203
10.5,-0.094099929,0.014217544
10.6,-0.093286903,0.014436186
10.7,-0.092473877,0.014654827
10.8,-0.091873096,0.014951167
10.9,-0.091305309,0.015259699
11,-0.090562405,0.015535462
11.1,-0.089819501,0.015811226
11.2,-0.089076597,0.01608699
11.3,-0.088368123,0.01628733
11.4,-0.087667296,0.016470913
11.5,-0.086979498,0.016672405
11.6,-0.086357891,0.016964887
11.7,-0.085736285,0.01725737
11.8,-0.085114678,0.017549852
11.9,-0.084480436,0.01771841
12,-0.083843661,0.01786212
12.1,-0.083206886,0.01800583
12.2,-0.082570111,0.01814954
12.3,-0.081874009,0.018263477
12.4,-0.081066189,0.018324069
12.5,-0.080293835,0.018409188
12.6,-0.079564969,0.018484258
12.7,-0.078836103,0.018559329
12.8,-0.078136905,0.018584201
12.9,-0.07746697,0.018595245
13,-0.076829527,0.018630367
13.1,-0.076192084,0.018665489
13.2,-0.075584558,0.018713218
13.3,-0.075006077,0.018773185
13.4,-0.074397169,0.018830254
13.5,-0.073775821,0.018886138
13.6,-0.073154473,0.018942021
13.7,-0.072505251,0.018932572
13.8,-0.071810373,0.018816106
13.9,-0.071115494,0.01869964
14,-0.070419459,0.018593844
14.1,-0.069718886,0.018529918
14.2,-0.069018312,0.018465993
14.3,-0.068336785,0.018423856
14.4,-0.067770671,0.018513751
14.5,-0.067162026,0.01857583
14.6,-0.066477914,0.018588549
14.7,-0.065793801,0.018601268
14.8,-0.065109689,0.018613987
14.9,-0.064425577,0.018626706
15,-0.063859772,0.018576888
15.1,-0.063324957,0.018555256
15.2,-0.062789408,0.018532399
15.3,-0.06225386,0.018509543
15.4,-0.061718311,0.018486687
15.5,-0.061182763,0.01846383
15.6,-0.060540634,0.018390103
15.7,-0.059898255,0.018305189
15.8,-0.059322119,0.018182049
15.9,-0.058745983,0.018058908
16,-0.058169847,0.017935767
16.1,-0.057684883,0.01785672
16.2,-0.05720738,0.017781282
16.3,-0.056729877,0.017705843
16.4,-0.056252375,0.017630404
16.5,-0.055776193,0.017570029
16.6,-0.055193216,0.017474229
16.7,-0.054600675,0.017376351
16.8,-0.054008134,0.017278473
16.9,-0.053426808,0.017179076
17,-0.052898668,0.017072478
17.1,-0.052347376,0.016937524
17.2,-0.051794637,0.016800799
17.3,-0.051241898,0.016664073
17.4,-0.050730273,0.016575746
17.5,-0.050278712,0.016553072
17.6,-0.049845081,0.01649026
17.7,-0.04941145,0.016427449
17.8,-0.048977819,0.016364637
17.9,-0.048503407,0.016230833
18,-0.048005748,0.01605656
18.1,-0.047508088,0.015882286
18.2,-0.047002009,0.015761168
18.3,-0.046492592,0.015661112
18.4,-0.046057709,0.015563208
18.5,-0.045630936,0.015465537
18.6,-0.045204162,0.015367867
18.7,-0.044777389,0.015270197
18.8,-0.044350616,0.015172527
18.9,-0.043926365,0.015089806
19,-0.043478442,0.014993294
19.1,-0.043022203,0.014895249
19.2,-0.042565963,0.014797203
19.3,-0.042109723,0.014699157
19.4,-0.041653483,0.014601111
19.5,-0.041203306,0.014502468
19.6,-0.040806364,0.014387385
19.7,-0.040405639,0.01427748
19.8,-0.040004913,0.014167576
19.9,-0.039604187,0.014057671
20,-0.039203461,0.013947767
20.1,-0.038799674,0.013824368
20.2,-0.038394752,0.013695959
20.3,-0.03798983,0.013567551
20.4,-0.037584908,0.013439142
20.5,-0.037167455,0.013336485
20.6,-0.036819171,0.013249464
20.7,-0.036491133,0.013165819
20.8,-0.036161894,0.013083964
20.9,-0.035821821,0.013018254
21,-0.035481748,0.012952545
21.1,-0.035141675,0.012886835
21.2,-0.03479248,0.012761976
21.3,-0.034429125,0.012562478
21.4,-0.034014549,0.012440116
21.5,-0.033599973,0.012317754
21.6,-0.033185397,0.012195392
21.7,-0.032873545,0.012119919
21.8,-0.03258036,0.012052967
21.9,-0.032287175,0.011986015
22,-0.031995615,0.011905447
22.1,-0.031708849,0.011784681
22.2,-0.031420298,0.011712254
22.3,-0.031111988,0.011648105
22.4,-0.030755782,0.011478553
22.5,-0.030399576,0.011309001
22.6,-0.030043022,0.011143028
22.7,-0.029679676,0.011047025
22.8,-0.02931633,0.010951022
22.9,-0.028977843,0.010865808
23,-0.028668767,0.010793358
23.1,-0.028359692,0.010720909
23.2,-0.028054274,0.010650025
23.3,-0.027801669,0.010574569
23.4,-0.027540278,0.010480304
23.5,-0.027278886,0.010386039
23.6,-0.027017495,0.010291774
23.7,-0.026750187,0.010190381
23.8,-0.026446627,0.010045305
23.9,-0.026143066,0.00990023
24,-0.025863929,0.009780248
24.1,-0.025588832,0.009664417
24.2,-0.025318046,0.009611348
24.3,-0.025047336,0.009559366
24.4,-0.024773004,0.009470352
24.5,-0.024497206,0.009366327
24.6,-0.024225697,0.009255784
24.7,-0.023959227,0.009137587
24.8,-0.023717028,0.009059767
24.9,-0.023503255,0.009029237
25,-0.023289482,0.008998708
25.1,-0.02307571,0.008968179
25.2,-0.022849071,0.00892505
25.3,-0.022614383,0.008836953
25.4,-0.022378669,0.008740396
25.5,-0.02214852,0.008641293
25.6,-0.021919543,0.008541654
25.7,-0.021690566,0.008442014
25.8,-0.021431094,0.00835653
25.9,-0.021238942,0.008290876
26,-0.021044301,0.008224579
26.1,-0.020826212,0.008152228
26.2,-0.020608123,0.008079877
26.3,-0.020396278,0.007978559
26.4,-0.020170228,0.007901208
26.5,-0.019939361,0.007832558
26.6,-0.019708493,0.007763909
26.7,-0.019478204,0.007690664
26.8,-0.019248542,0.007612431
26.9,-0.019018881,0.007534199
27,-0.018791411,0.007456064
27.1,-0.018608131,0.007379902
27.2,-0.018427318,0.007303691
27.3,-0.018261784,0.007227175
27.4,-0.018096249,0.007150659
27.5,-0.017930714,0.007074143
27.6,-0.017764278,0.006997979
27.7,-0.017581714,0.006928114
27.8,-0.017391873,0.006866263
27.9,-0.01719907,0.006807673
28,-0.017006558,0.006750882
28.1,-0.016814375,0.00669612
28.2,-0.016622193,0.006641358
28.3,-0.016437284,0.006588893
28.4,-0.016273349,0.006542031
28.5,-0.016120843,0.006498205
28.6,-0.015968337,0.00645438
28.7,-0.01581583,0.006410554
28.8,-0.015663324,0.006366728
28.9,-0.015510818,0.006322903
29,-0.015356232,0.006257281
29.1,-0.015189586,0.006190868
29.2,-0.015023629,0.006122996
29.3,-0.014857672,0.006055125
29.4,-0.014691715,0.005987253
29.5,-0.01451932,0.005906365
29.6,-0.014345669,0.005822937
29.7,-0.014172018,0.005739509
29.8,-0.013994943,0.005667821
29.9,-0.013814986,0.005606017
30,-0.013664141,0.005532719
30.1,-0.013513373,0.00545939
30.2,-0.013362605,0.005386061
30.3,-0.013220202,0.005320041
30.4,-0.013096843,0.005288038
30.5,-0.012980819,0.005268666
30.6,-0.012864795,0.005249293
30.7,-0.01274877,0.00522992
30.8,-0.012632746,0.005210548
30.9,-0.012516721,0.005191175
31,-0.01239699,0.005148057
31.1,-0.012276289,0.005098726
31.2,-0.012155588,0.005049396
31.3,-0.012015716,0.004969232
31.4,-0.011876659,0.004892649
31.5,-0.011745324,0.004841674
31.6,-0.011610412,0.004797023
31.7,-0.0114755,0.004752371
31.8,-0.011341788,0.00470633
31.9,-0.011218516,0.004648184
32,-0.011095244,0.004590039
32.1,-0.010971576,0.00453775
32.2,-0.010847778,0.004487391
32.3,-0.01072398,0.004437033
32.4,-0.010615077,0.004395832
32.5,-0.010515801,0.004360551
32.6,-0.010416526,0.00432527
32.7,-0.010310077,0.004293876
32.8,-0.010200637,0.004264103
32.9,-0.010088554,0.00422926
33,-0.009971335,0.004184562
33.1,-0.009854116,0.004139863
33.2,-0.009757876,0.004105271
33.3,-0.009667441,0.004073476
33.4,-0.00956949,0.004035264
33.5,-0.009469793,0.00399556
33.6,-0.009367204,0.003952959
33.7,-0.009264507,0.003910005
33.8,-0.009169166,0.00385905
33.9,-0.009073825,0.003808094
34,-0.008979952,0.003765011
34.1,-0.00888608,0.003721931
34.2,-0.008792207,0.003678851
34.3,-0.008689631,0.003646997
34.4,-0.008585378,0.003611721
34.5,-0.008481125,0.003576445
34.6,-0.008376871,0.003541169
34.7,-0.008272393,0.003504568
34.8,-0.008192576,0.003482249
34.9,-0.008115382,0.003463207
35,-0.008036762,0.003442603
35.1,-0.007958143,0.003421999
35.2,-0.007879523,0.003401395
35.3,-0.007795575,0.003366285
35.4,-0.007711246,0.003337388
35.5,-0.007649695,0.003304003
35.6,-0.007586453,0.003269981
35.7,-0.007512671,0.003231993
35.8,-0.00743889,0.003194005
35.9,-0.007360973,0.003154408
36,-0.007265249,0.003107887
36.1,-0.007169811,0.003061661
36.2,-0.00709362,0.003035406
36.3,-0.007017429,0.00300915
36.4,-0.006941465,0.002982781
36.5,-0.006871522,0.00295341
36.6,-0.00680158,0.00292404
36.7,-0.00673067,0.002895076
36.8,-0.006659048,0.002866411
36.9,-0.006587427,0.002837746
37,-0.006515681,0.002813483
37.1,-0.00644369,0.002797869
37.2,-0.0063717,0.002782255
37.3,-0.006298011,0.002758824
37.4,-0.006223734,0.00273268
37.5,-0.006149456,0.002706536
37.6,-0.006075178,0.002680392
37.7,-0.006008626,0.0026517
37.8,-0.005946783,0.002623199
37.9,-0.00588494,0.002594699
38,-0.005823097,0.002566198
38.1,-0.005761311,0.002537684
38.2,-0.005701766,0.002510431
38.3,-0.00565046,0.002490378
38.4,-0.005599428,0.002471212
38.5,-0.005548396,0.002452046
38.6,-0.005495805,0.002431354
38.7,-0.005435162,0.002400102
38.8,-0.00537452,0.002368849
38.9,-0.00531268,0.00233896
39,-0.005253691,0.002312952
39.1,-0.005200079,0.002293877
39.2,-0.005145536,0.002275889
39.3,-0.005090013,0.002259047
39.4,-0.005034585,0.002242249
39.5,-0.004982421,0.002224427
39.6,-0.004929416,0.002204797
39.7,-0.004876412,0.002185167
39.8,-0.004823407,0.002165537
39.9,-0.004769968,0.002145781
40,-0.004716101,0.002125903
40.1,-0.004662235,0.002106025
40.2,-0.00460864,0.002086427
40.3,-0.004559275,0.00206454
40.4,-0.004512671,0.002042929
40.5,-0.004466068,0.002021319
40.6,-0.004419464,0.001999708
40.7,-0.004380632,0.001979641
40.8,-0.004342694,0.001959752
40.9,-0.004301817,0.00194099
41,-0.00425834,0.001923223
41.1,-0.004214864,0.001905457
41.2,-0.004171388,0.00188769
41.3,-0.004127912,0.001869923
41.4,-0.00408111,0.001854786
41.5,-0.004032815,0.001841355
41.6,-0.00398452,0.001827924
41.7,-0.003936225,0.001814493
41.8,-0.00388793,0.001801061
41.9,-0.003847357,0.001782189
42,-0.003808751,0.00176193
42.1,-0.003770145,0.00174167
42.2,-0.003731552,0.001722667
42.3,-0.003693002,0.00170826
42.4,-0.00365145,0.001691721
42.5,-0.003610982,0.001678657
42.6,-0.003570514,0.001665593
42.7,-0.003530047,0.00165253
42.8,-0.003489579,0.001639466
42.9,-0.003449806,0.001626185
43,-0.003418205,0.001610422
43.1,-0.003386819,0.001594596
43.2,-0.003355433,0.00157877
43.3,-0.003324047,0.001562944
43.4,-0.003292661,0.001547118
43.5,-0.003261275,0.001531293
43.6,-0.003226891,0.001517896
43.7,-0.003192044,0.001504904
43.8,-0.003154062,0.001491934
43.9,-0.003115055,0.001478978
44,-0.003076048,0.001466021
44.1,-0.003039416,0.001453243
44.2,-0.003009438,0.001440961
44.3,-0.00297946,0.00142868
44.4,-0.002949483,0.001416399
44.5,-0.002918918,0.001405309
44.6,-0.002889264,0.001393939
44.7,-0.002859077,0.001381237
44.8,-0.002828828,0.001368446
44.9,-0.002798579,0.001355655
45,-0.002767888,0.001342625
45.1,-0.002735166,0.001328487
45.2,-0.002703193,0.001314787
45.3,-0.002673924,0.001302667
45.4,-0.002644677,0.001290547
45.5,-0.0026184,0.001278431
45.6,-0.002592347,0.001266797
45.7,-0.002567841,0.001258509
45.8,-0.002543334,0.001250222
45.9,-0.00251729,0.001238778
46,-0.002490329,0.001225454
46.1,-0.002462013,0.001214486
46.2,-0.002433373,0.001204085
46.3,-0.002406359,0.001193049
46.4,-0.002381792,0.001181058
46.5,-0.002357225,0.001169066
46.6,-0.002331274,0.001161265
46.7,-0.002305288,0.001153566
46.8,-0.002281676,0.001146599
46.9,-0.002258089,0.00113964
47,-0.002234503,0.001132681
47.1,-0.002210913,0.001125722
47.2,-0.002186941,0.001118805
47.3,-0.002163964,0.001106868
47.4,-0.002142293,0.001093939
47.5,-0.002120623,0.001081011
47.6,-0.002099133,0.001068269
47.7,-0.002077732,0.001055619
47.8,-0.002054358,0.001046758
47.9,-0.002030968,0.00103906
48,-0.002007637,0.001031111
48.1,-0.001984305,0.001023162
48.2,-0.001960973,0.001015213
48.3,-0.001937714,0.001009902
